poll_date,poll_agency,party_shortname,result,coalition,mov_avg,seats
2016-03-23,Focus,SMER,0.275,f,0.275,50
2016-03-23,Focus,SaS,0.125,f,0.125,22
2016-03-23,Focus,SNS,0.111,f,0.111,20
2016-03-23,Focus,OĽaNO,0.1,f,0.1,18
2016-03-23,Focus,ĽSNS,0.088,f,0.088,16
2016-03-23,Focus,SME RODINA,0.078,f,0.078,14
2016-03-23,Focus,MOST - HÍD,0.059,f,0.059,10
2016-03-23,Focus,KDH,0.041,f,0.041,0
2016-03-23,Focus,MKO - MKS,0.043,f,0.043,0
2016-04-07,AKO,SMER,0.288,f,0.282,50
2016-04-07,AKO,SaS,0.162,f,0.144,28
2016-04-07,AKO,SNS,0.137,f,0.124,23
2016-04-07,AKO,ĽSNS,0.109,f,0.099,18
2016-04-07,AKO,MOST - HÍD,0.065,f,0.062,11
2016-04-07,AKO,OĽaNO,0.069,f,0.085,11
2016-04-07,AKO,SME RODINA,0.054,f,0.066,9
2016-04-07,AKO,KDH,0.044,f,0.042,0
2016-04-07,AKO,MKO - MKS,0.038,f,0.04,0
2016-05-10,AKO,SMER,0.298,f,0.287,50
2016-05-10,AKO,SaS,0.162,f,0.15,27
2016-05-10,AKO,SNS,0.124,f,0.124,21
2016-05-10,AKO,ĽSNS,0.117,f,0.105,19
2016-05-10,AKO,OĽaNO,0.071,f,0.08,12
2016-05-10,AKO,MOST - HÍD,0.071,f,0.065,12
2016-05-10,AKO,SME RODINA,0.058,f,0.063,9
2016-05-10,AKO,KDH,0.042,f,0.042,0
2016-05-10,AKO,MKO - MKS,0.034,f,0.038,0
2016-05-12,Focus,SMER,0.287,f,0.287,53
2016-05-12,Focus,SaS,0.13,f,0.145,24
2016-05-12,Focus,SNS,0.112,f,0.121,20
2016-05-12,Focus,ĽSNS,0.089,f,0.101,16
2016-05-12,Focus,OĽaNO,0.088,f,0.082,16
2016-05-12,Focus,MOST - HÍD,0.06,f,0.064,11
2016-05-12,Focus,SME RODINA,0.059,f,0.062,10
